year,month,Kanton,Herkunftsland,Indikator,value
2006,3,16,00,2,5612.0
2006,3,17,00,2,86553.0
2006,3,18,00,2,765878.0
2006,3,19,00,2,55565.0
2006,3,20,00,2,24406.0
2006,3,21,00,2,122747.0
2006,3,22,00,2,197898.0
2006,3,23,00,2,526125.0
2006,3,24,00,2,13501.0
2006,3,25,00,2,239806.0
2006,3,26,00,2,4371.0
2006,4,1,00,2,288101.0
2006,4,2,00,2,283411.0
2006,4,3,00,2,117811.0
2006,4,4,00,2,13014.0
2006,4,5,00,2,43590.0
2006,4,6,00,2,44865.0
2006,4,7,00,2,17472.0
2006,4,8,00,2,8212.0
2006,4,9,00,2,18722.0
2006,4,10,00,2,25481.0
2006,4,11,00,2,23352.0
2006,4,12,00,2,73010.0
2006,4,13,00,2,18414.0
2006,4,14,00,2,8287.0
2006,4,15,00,2,10690.0
2006,4,16,00,2,8015.0
2006,4,17,00,2,70426.0
2006,4,18,00,2,291041.0
2006,4,19,00,2,53102.0
2006,4,20,00,2,29173.0
2006,4,21,00,2,279593.0
2006,4,22,00,2,176228.0
2006,4,23,00,2,329288.0
2006,4,24,00,2,15453.0
2006,4,25,00,2,199780.0
2006,4,26,00,2,5481.0
2006,5,1,00,2,341043.0
2006,5,2,00,2,330672.0
2006,5,3,00,2,149663.0
2006,5,4,00,2,15024.0
2006,5,5,00,2,48458.0
2006,5,6,00,2,56255.0
2006,5,7,00,2,24199.0
2006,5,8,00,2,7119.0
2006,5,9,00,2,22893.0
2006,5,10,00,2,33793.0
2006,5,11,00,2,29134.0
2006,5,12,00,2,76284.0
2006,5,13,00,2,17903.0
2006,5,14,00,2,11666.0
2006,5,15,00,2,13176.0
2006,5,16,00,2,11686.0
2006,5,17,00,2,83705.0
2006,5,18,00,2,121990.0
2006,5,19,00,2,58571.0
2006,5,20,00,2,39193.0
2006,5,21,00,2,294939.0
2006,5,22,00,2,203417.0
2006,5,23,00,2,128653.0
2006,5,24,00,2,17656.0
2006,5,25,00,2,239505.0
2006,5,26,00,2,7682.0
2006,6,1,00,2,360168.0
2006,6,2,00,2,488080.0
2006,6,3,00,2,174980.0
2006,6,4,00,2,24356.0
2006,6,5,00,2,56478.0
2006,6,6,00,2,62660.0
2006,6,7,00,2,28932.0
2006,6,8,00,2,11153.0
2006,6,9,00,2,22786.0
2006,6,10,00,2,38704.0
2006,6,11,00,2,32337.0
2006,6,12,00,2,88656.0
2006,6,13,00,2,20472.0
2006,6,14,00,2,12467.0
2006,6,15,00,2,15631.0
2006,6,16,00,2,15710.0
2006,6,17,00,2,90951.0
2006,6,18,00,2,351254.0
2006,6,19,00,2,57901.0
2006,6,20,00,2,40579.0
2006,6,21,00,2,306971.0
2006,6,22,00,2,232330.0
2006,6,23,00,2,267071.0
2006,6,24,00,2,22206.0
2006,6,25,00,2,244542.0
2006,6,26,00,2,8675.0
2006,7,1,00,2,362162.0
2006,7,2,00,2,627816.0
2006,7,3,00,2,199663.0
2006,7,4,00,2,37517.0
2006,7,5,00,2,67111.0
2006,7,6,00,2,79116.0
2006,7,7,00,2,34749.0
2006,7,8,00,2,16475.0
2006,7,9,00,2,22440.0
2006,7,10,00,2,46170.0
2006,7,11,00,2,32813.0
2006,7,12,00,2,66153.0
2006,7,13,00,2,18290.0
2006,7,14,00,2,12437.0
2006,7,15,00,2,15331.0
2006,7,16,00,2,24515.0
2006,7,17,00,2,94117.0
2006,7,18,00,2,652850.0
2006,7,19,00,2,52630.0
2006,7,20,00,2,42785.0
2006,7,21,00,2,386483.0
2006,7,22,00,2,276952.0
2006,7,23,00,2,505216.0
2006,7,24,00,2,21528.0
2006,7,25,00,2,254327.0
2006,7,26,00,2,10224.0
2006,8,1,00,2,389666.0
2006,8,2,00,2,611644.0
2006,8,3,00,2,199148.0
2006,8,4,00,2,31862.0
2006,8,5,00,2,63589.0
2006,8,6,00,2,77536.0
2006,8,7,00,2,34466.0
2006,8,8,00,2,15873.0
2006,8,9,00,2,24939.0
2006,8,10,00,2,43082.0
2006,8,11,00,2,31328.0
2006,8,12,00,2,75993.0
2006,8,13,00,2,18544.0
2006,8,14,00,2,13500.0
2006,8,15,00,2,17219.0
2006,8,16,00,2,20944.0
2006,8,17,00,2,106520.0
2006,8,18,00,2,638024.0
2006,8,19,00,2,61610.0
2006,8,20,00,2,43799.0
2006,8,21,00,2,412254.0
2006,8,22,00,2,261398.0
2006,8,23,00,2,478754.0
2006,8,24,00,2,24071.0
2006,8,25,00,2,264682.0
2006,8,26,00,2,10166.0
2006,9,1,00,2,365763.0
2006,9,2,00,2,496756.0
2006,9,3,00,2,179825.0
2006,9,4,00,2,27990.0
2006,9,5,00,2,60042.0
2006,9,6,00,2,61772.0
2006,9,7,00,2,30146.0
2006,9,8,00,2,14724.0
2006,9,9,00,2,24985.0
2006,9,10,00,2,38366.0
2006,9,11,00,2,33302.0
2006,9,12,00,2,78135.0
2006,9,13,00,2,23024.0
2006,9,14,00,2,13853.0
2006,9,15,00,2,17404.0
2006,9,16,00,2,24751.0
2006,9,17,00,2,103985.0
2006,9,18,00,2,466754.0
2006,9,19,00,2,63728.0
2006,9,20,00,2,43983.0
2006,9,21,00,2,335124.0
2006,9,22,00,2,241777.0
2006,9,23,00,2,341330.0
2006,9,24,00,2,22914.0
2006,9,25,00,2,251410.0
2006,9,26,00,2,10187.0
2006,10,1,00,2,347812.0
2006,10,2,00,2,359831.0
2006,10,3,00,2,138230.0
2006,10,4,00,2,14591.0
2006,10,5,00,2,50823.0
2006,10,6,00,2,39101.0
2006,10,7,00,2,21424.0
2006,10,8,00,2,12637.0
2006,10,9,00,2,22940.0
2006,10,10,00,2,31408.0
2006,10,11,00,2,29956.0
2006,10,12,00,2,80886.0
2006,10,13,00,2,21858.0
2006,10,14,00,2,10111.0
2006,10,15,00,2,15118.0
2006,10,16,00,2,17822.0
2006,10,17,00,2,93871.0
2006,10,18,00,2,289997.0
2006,10,19,00,2,60508.0
2006,10,20,00,2,34309.0
2006,10,21,00,2,281290.0
2006,10,22,00,2,192463.0
2006,10,23,00,2,208788.0
2006,10,24,00,2,19774.0
2006,10,25,00,2,223223.0
2006,10,26,00,2,8527.0
2006,11,1,00,2,310046.0
2006,11,2,00,2,183423.0
2006,11,3,00,2,90380.0
2006,11,4,00,2,6183.0
2006,11,5,00,2,34284.0
2006,11,6,00,2,14210.0
2006,11,7,00,2,10996.0
2006,11,8,00,2,5946.0
2006,11,9,00,2,20957.0
2006,11,10,00,2,23093.0
2006,11,11,00,2,27313.0
2006,11,12,00,2,76687.0
2006,11,13,00,2,19923.0
2006,11,14,00,2,8516.0
2006,11,15,00,2,9607.0
2006,11,16,00,2,6390.0
2006,11,17,00,2,66964.0
2006,11,18,00,2,80643.0
2006,11,19,00,2,59376.0
2006,11,20,00,2,26877.0
2006,11,21,00,2,96012.0
2006,11,22,00,2,146202.0
2006,11,23,00,2,106181.0
2006,11,24,00,2,15107.0
2006,11,25,00,2,201539.0
2006,11,26,00,2,5947.0
2006,12,1,00,2,291988.0
2006,12,2,00,2,303651.0
2006,12,3,00,2,96158.0
2006,12,4,00,2,11126.0
2006,12,5,00,2,33942.0
2006,12,6,00,2,35437.0
2006,12,7,00,2,9711.0
2006,12,8,00,2,6945.0
2006,12,9,00,2,16778.0
2006,12,10,00,2,19510.0
2006,12,11,00,2,21299.0
2006,12,12,00,2,65325.0
2006,12,13,00,2,13896.0
2006,12,14,00,2,5606.0
2006,12,15,00,2,9886.0
2006,12,16,00,2,7843.0
2006,12,17,00,2,68043.0
2006,12,18,00,2,470016.0
2006,12,19,00,2,43145.0
2006,12,20,00,2,19236.0
2006,12,21,00,2,75542.0
2006,12,22,00,2,149669.0
2006,12,23,00,2,326647.0
2006,12,24,00,2,12637.0
2006,12,25,00,2,177280.0
2006,12,26,00,2,3397.0
2007,1,1,00,2,277096.0
2007,1,2,00,2,383567.0
2007,1,3,00,2,79425.0
2007,1,4,00,2,16322.0
2007,1,5,00,2,34619.0
2007,1,6,00,2,47944.0
2007,1,7,00,2,11027.0
2007,1,8,00,2,11496.0
2007,1,9,00,2,18122.0
2007,1,10,00,2,18701.0
2007,1,11,00,2,22848.0
2007,1,12,00,2,69811.0
2007,1,13,00,2,15809.0
2007,1,14,00,2,5498.0
2007,1,15,00,2,6891.0
2007,1,16,00,2,6487.0
2007,1,17,00,2,81560.0
2007,1,18,00,2,741982.0
2007,1,19,00,2,49083.0
2007,1,20,00,2,20896.0
2007,1,21,00,2,60734.0
2007,1,22,00,2,165053.0
2007,1,23,00,2,470125.0
2007,1,24,00,2,12629.0
2007,1,25,00,2,174598.0
2007,1,26,00,2,3108.0
2007,2,1,00,2,267102.0
2007,2,2,00,2,460400.0
2007,2,3,00,2,86406.0
2007,2,4,00,2,19984.0
2007,2,5,00,2,42740.0
2007,2,6,00,2,59482.0
2007,2,7,00,2,13599.0
2007,2,8,00,2,16164.0
2007,2,9,00,2,17604.0
2007,2,10,00,2,20087.0
2007,2,11,00,2,20491.0
2007,2,12,00,2,63800.0
2007,2,13,00,2,14751.0
2007,2,14,00,2,5347.0
2007,2,15,00,2,7749.0
2007,2,16,00,2,5023.0
2007,2,17,00,2,97301.0
2007,2,18,00,2,849378.0
2007,2,19,00,2,47409.0
2007,2,20,00,2,22725.0
2007,2,21,00,2,73204.0
2007,2,22,00,2,189069.0
2007,2,23,00,2,585596.0
2007,2,24,00,2,13917.0
2007,2,25,00,2,197392.0
2007,2,26,00,2,3221.0
2007,3,1,00,2,331156.0
2007,3,2,00,2,384240.0
2007,3,3,00,2,109373.0
2007,3,4,00,2,19936.0
2007,3,5,00,2,39870.0
2007,3,6,00,2,54530.0
2007,3,7,00,2,13844.0
2007,3,8,00,2,8325.0
2007,3,9,00,2,21527.0
2007,3,10,00,2,25439.0
2007,3,11,00,2,25509.0
2007,3,12,00,2,80577.0
2007,3,13,00,2,17791.0
2007,3,14,00,2,8003.0
2007,3,15,00,2,10222.0
2007,3,16,00,2,6867.0
2007,3,17,00,2,92921.0
2007,3,18,00,2,751843.0
2007,3,19,00,2,59313.0
2007,3,20,00,2,28870.0
2007,3,21,00,2,152742.0
2007,3,22,00,2,220359.0
2007,3,23,00,2,547601.0
2007,3,24,00,2,16607.0
2007,3,25,00,2,268076.0
2007,3,26,00,2,3529.0
2007,4,1,00,2,323449.0
2007,4,2,00,2,301509.0
2007,4,3,00,2,133645.0
2007,4,4,00,2,14112.0
2007,4,5,00,2,46171.0
2007,4,6,00,2,42417.0
2007,4,7,00,2,16852.0
2007,4,8,00,2,9165.0
2007,4,9,00,2,19434.0
2007,4,10,00,2,26876.0
2007,4,11,00,2,31553.0
2007,4,12,00,2,83542.0
2007,4,13,00,2,21897.0
2007,4,14,00,2,10478.0
2007,4,15,00,2,11240.0
2007,4,16,00,2,9371.0
2007,4,17,00,2,77121.0
2007,4,18,00,2,295415.0
2007,4,19,00,2,60242.0
2007,4,20,00,2,31955.0
2007,4,21,00,2,258454.0
2007,4,22,00,2,185375.0
2007,4,23,00,2,327235.0
2007,4,24,00,2,17915.0
2007,4,25,00,2,205464.0
2007,4,26,00,2,6468.0
2007,5,1,00,2,355626.0
2007,5,2,00,2,346948.0
2007,5,3,00,2,158051.0
2007,5,4,00,2,17853.0
2007,5,5,00,2,53727.0
2007,5,6,00,2,57262.0
2007,5,7,00,2,22138.0
2007,5,8,00,2,7404.0
2007,5,9,00,2,22831.0
2007,5,10,00,2,34581.0
2007,5,11,00,2,30884.0
2007,5,12,00,2,73901.0
2007,5,13,00,2,18127.0
2007,5,14,00,2,11822.0
2007,5,15,00,2,13627.0
2007,5,16,00,2,13434.0
2007,5,17,00,2,84628.0
2007,5,18,00,2,135539.0
2007,5,19,00,2,61981.0
2007,5,20,00,2,38954.0
2007,5,21,00,2,281880.0
2007,5,22,00,2,197800.0
2007,5,23,00,2,135264.0
2007,5,24,00,2,21054.0
2007,5,25,00,2,241557.0
2007,5,26,00,2,7259.0
2007,6,1,00,2,388819.0
2007,6,2,00,2,509581.0
2007,6,3,00,2,194129.0
2007,6,4,00,2,28619.0
2007,6,5,00,2,62445.0
2007,6,6,00,2,66329.0
2007,6,7,00,2,26559.0
2007,6,8,00,2,11988.0
2007,6,9,00,2,23675.0
2007,6,10,00,2,39007.0
2007,6,11,00,2,38098.0
2007,6,12,00,2,89209.0
2007,6,13,00,2,19122.0
2007,6,14,00,2,13559.0
2007,6,15,00,2,15955.0
2007,6,16,00,2,17965.0
2007,6,17,00,2,97543.0
2007,6,18,00,2,373245.0
2007,6,19,00,2,66326.0
2007,6,20,00,2,44148.0
2007,6,21,00,2,303484.0
2007,6,22,00,2,241512.0
2007,6,23,00,2,287048.0
2007,6,24,00,2,23027.0
2007,6,25,00,2,270601.0
2007,6,26,00,2,7606.0
2007,7,1,00,2,394217.0
2007,7,2,00,2,623830.0
2007,7,3,00,2,218608.0
2007,7,4,00,2,38187.0
2007,7,5,00,2,74725.0
2007,7,6,00,2,77349.0
2007,7,7,00,2,32198.0
2007,7,8,00,2,17400.0
2007,7,9,00,2,26047.0
2007,7,10,00,2,48732.0
2007,7,11,00,2,38402.0
2007,7,12,00,2,75283.0
2007,7,13,00,2,17258.0
2007,7,14,00,2,13723.0
2007,7,15,00,2,16093.0
2007,7,16,00,2,22737.0
2007,7,17,00,2,99379.0
2007,7,18,00,2,654110.0
2007,7,19,00,2,61158.0
2007,7,20,00,2,43956.0
2007,7,21,00,2,412480.0
2007,7,22,00,2,300421.0
2007,7,23,00,2,511326.0
2007,7,24,00,2,25164.0
2007,7,25,00,2,288613.0
2007,7,26,00,2,10267.0
2007,8,1,00,2,411203.0
2007,8,2,00,2,616441.0
2007,8,3,00,2,213899.0
2007,8,4,00,2,36413.0
2007,8,5,00,2,78289.0
2007,8,6,00,2,73932.0
2007,8,7,00,2,30746.0
2007,8,8,00,2,17117.0
2007,8,9,00,2,28159.0
2007,8,10,00,2,48138.0
2007,8,11,00,2,38320.0
2007,8,12,00,2,78659.0
2007,8,13,00,2,19745.0
2007,8,14,00,2,14695.0
2007,8,15,00,2,17602.0
2007,8,16,00,2,24120.0
2007,8,17,00,2,107406.0
2007,8,18,00,2,648582.0
2007,8,19,00,2,65918.0
2007,8,20,00,2,43264.0
2007,8,21,00,2,396367.0
2007,8,22,00,2,292782.0
2007,8,23,00,2,505675.0
2007,8,24,00,2,24701.0
2007,8,25,00,2,287573.0
2007,8,26,00,2,11241.0
2007,9,1,00,2,386141.0
2007,9,2,00,2,494618.0
2007,9,3,00,2,183670.0
2007,9,4,00,2,29733.0
2007,9,5,00,2,65575.0
2007,9,6,00,2,61242.0
2007,9,7,00,2,26328.0
2007,9,8,00,2,13344.0
2007,9,9,00,2,25260.0
2007,9,10,00,2,40854.0
2007,9,11,00,2,36632.0
2007,9,12,00,2,84783.0
2007,9,13,00,2,19862.0
2007,9,14,00,2,14154.0
2007,9,15,00,2,16773.0
2007,9,16,00,2,22798.0
2007,9,17,00,2,103020.0
2007,9,18,00,2,474208.0
2007,9,19,00,2,68696.0
2007,9,20,00,2,41108.0
2007,9,21,00,2,343272.0
2007,9,22,00,2,241680.0
2007,9,23,00,2,360204.0
2007,9,24,00,2,25158.0
2007,9,25,00,2,249659.0
2007,9,26,00,2,9098.0
2007,10,1,00,2,369683.0
2007,10,2,00,2,361310.0
2007,10,3,00,2,150775.0
2007,10,4,00,2,16472.0
2007,10,5,00,2,57953.0
2007,10,6,00,2,44397.0
2007,10,7,00,2,19961.0
2007,10,8,00,2,11742.0
2007,10,9,00,2,23600.0
